id,subject,topic,question,optionA,optionB,optionC,optionD,answer,tip
185,English,Antonyms,Identify the correct option in Antonyms.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,B,Recall the key formula or rule from the chapter.
186,Mathematics,Differentiation,Which of the following is correct in Differentiation?,Statement 1,Statement 2,Statement 3,Statement 4,B,Use elimination to remove incorrect options quickly.
187,English,Grammar,Identify the correct option in Grammar.,Statement 1,Statement 2,Statement 3,Statement 4,A,Review the core concept from the FSc textbook.
188,English,Reading Comprehension,Identify the correct option in Reading Comprehension.,Option A concept,Option B concept,Option C concept,Option D concept,D,Recall the key formula or rule from the chapter.
189,Physics,Waves,"According to the principle studied in Waves, what is correct?",Option A concept,Option B concept,Option C concept,Option D concept,B,Recall the key formula or rule from the chapter.
190,Physics,Current Electricity,A conceptual question from Current Electricity: choose the correct option.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,B,Recall the key formula or rule from the chapter.
191,Physics,Work Energy Power,"In Work Energy Power, which statement is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Review the core concept from the FSc textbook.
192,English,Sentence Correction,Identify the correct option in Sentence Correction.,Statement 1,Statement 2,Statement 3,Statement 4,B,Review the core concept from the FSc textbook.
193,Physics,Dynamics,A conceptual question from Dynamics: choose the correct option.,Option A concept,Option B concept,Option C concept,Option D concept,A,Recall the key formula or rule from the chapter.
194,English,Antonyms,Identify the correct option in Antonyms.,Statement 1,Statement 2,Statement 3,Statement 4,B,Use elimination to remove incorrect options quickly.
195,Physics,Modern Physics,"In Modern Physics, which statement is correct?",Statement 1,Statement 2,Statement 3,Statement 4,B,Use elimination to remove incorrect options quickly.
196,Physics,Current Electricity,"According to the principle studied in Current Electricity, what is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Focus on conceptual understanding rather than memorization.
197,English,Vocabulary,Choose the correct answer related to Vocabulary.,Option A concept,Option B concept,Option C concept,Option D concept,D,Review the core concept from the FSc textbook.
198,Mathematics,Statistics,Which of the following is correct in Statistics?,Option A concept,Option B concept,Option C concept,Option D concept,A,Use elimination to remove incorrect options quickly.
199,Mathematics,Vectors,Which of the following is correct in Vectors?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Focus on conceptual understanding rather than memorization.
200,Physics,Waves,"According to the principle studied in Waves, what is correct?",Option A concept,Option B concept,Option C concept,Option D concept,D,Review the core concept from the FSc textbook.
201,English,Grammar,Choose the correct answer related to Grammar.,Statement 1,Statement 2,Statement 3,Statement 4,C,Recall the key formula or rule from the chapter.
202,Physics,SHM,"In SHM, which statement is correct?",Option A concept,Option B concept,Option C concept,Option D concept,D,Focus on conceptual understanding rather than memorization.
203,Physics,Current Electricity,"In Current Electricity, which statement is correct?",Statement 1,Statement 2,Statement 3,Statement 4,C,Recall the key formula or rule from the chapter.
204,English,Antonyms,Which option best fits the rule of Antonyms?,Option A concept,Option B concept,Option C concept,Option D concept,B,Recall the key formula or rule from the chapter.
205,English,Grammar,Identify the correct option in Grammar.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,D,Recall the key formula or rule from the chapter.
206,Mathematics,Determinants,Which of the following is correct in Determinants?,Option A concept,Option B concept,Option C concept,Option D concept,A,Recall the key formula or rule from the chapter.
207,Mathematics,Limits,Choose the correct mathematical statement from Limits.,Statement 1,Statement 2,Statement 3,Statement 4,A,Focus on conceptual understanding rather than memorization.
208,Physics,Magnetism,A conceptual question from Magnetism: choose the correct option.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,B,Use elimination to remove incorrect options quickly.
209,Physics,Thermodynamics,"In Thermodynamics, which statement is correct?",Statement 1,Statement 2,Statement 3,Statement 4,A,Use elimination to remove incorrect options quickly.
210,Mathematics,Sequences and Series,Choose the correct mathematical statement from Sequences and Series.,Statement 1,Statement 2,Statement 3,Statement 4,B,Review the core concept from the FSc textbook.
211,English,Sentence Correction,Identify the correct option in Sentence Correction.,Option A concept,Option B concept,Option C concept,Option D concept,D,Focus on conceptual understanding rather than memorization.
212,Physics,Waves,"According to the principle studied in Waves, what is correct?",Option A concept,Option B concept,Option C concept,Option D concept,A,Review the core concept from the FSc textbook.
213,Mathematics,Statistics,Which of the following is correct in Statistics?,Option A concept,Option B concept,Option C concept,Option D concept,B,Use elimination to remove incorrect options quickly.
214,Physics,Rotational Motion,A conceptual question from Rotational Motion: choose the correct option.,Statement 1,Statement 2,Statement 3,Statement 4,B,Use elimination to remove incorrect options quickly.
215,Mathematics,Determinants,Solve the problem related to Determinants.,Statement 1,Statement 2,Statement 3,Statement 4,B,Review the core concept from the FSc textbook.
216,Mathematics,Integration,Solve the problem related to Integration.,Statement 1,Statement 2,Statement 3,Statement 4,B,Review the core concept from the FSc textbook.
217,Mathematics,Differentiation,Which of the following is correct in Differentiation?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Recall the key formula or rule from the chapter.
218,Mathematics,Vectors,Which of the following is correct in Vectors?,Option A concept,Option B concept,Option C concept,Option D concept,C,Focus on conceptual understanding rather than memorization.
219,Physics,Rotational Motion,A conceptual question from Rotational Motion: choose the correct option.,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Recall the key formula or rule from the chapter.
220,Mathematics,Matrices,Choose the correct mathematical statement from Matrices.,Statement 1,Statement 2,Statement 3,Statement 4,C,Use elimination to remove incorrect options quickly.
221,English,Synonyms,Identify the correct option in Synonyms.,Option A concept,Option B concept,Option C concept,Option D concept,C,Use elimination to remove incorrect options quickly.
222,Mathematics,Functions,Which of the following is correct in Functions?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,C,Focus on conceptual understanding rather than memorization.
223,Mathematics,Matrices,Which of the following is correct in Matrices?,Correct principle,Incorrect principle,Partial concept,Unrelated concept,A,Focus on conceptual understanding rather than memorization.
224,Mathematics,Functions,Which of the following is correct in Functions?,Statement 1,Statement 2,Statement 3,Statement 4,C,Recall the key formula or rule from the chapter.
225,English,Synonyms,Which option best fits the rule of Synonyms?,Statement 1,Statement 2,Statement 3,Statement 4,D,Use elimination to remove incorrect options quickly.
226,Mathematics,Vectors,Choose the correct mathematical statement from Vectors.,Statement 1,Statement 2,Statement 3,Statement 4,C,Recall the key formula or rule from the chapter.
227,Mathematics,Analytical Geometry,Choose the correct mathematical statement from Analytical Geometry.,Statement 1,Statement 2,Statement 3,Statement 4,B,Review the core concept from the FSc textbook.
228,English,Synonyms,Which option best fits the rule of Synonyms?,Statement 1,Statement 2,Statement 3,Statement 4,C,Recall the key formula or rule from the chapter.
229,Physics,SHM,"According to the principle studied in SHM, what is correct?",Correct principle,Incorrect principle,Partial concept,Unrelated concept,B,Focus on conceptual understanding rather than memorization.
